step,position
481, 0.004276
482, 0.004169
483, 0.004064
484, 0.003963
485, 0.003864
486, 0.003767
487, 0.003673
488, 0.003581
489, 0.003491
490, 0.003404
491, 0.003319
492, 0.003236
493, 0.003155
494, 0.003076
495, 0.002999
496, 0.002924
497, 0.002851
498, 0.002779
499, 0.002710
500, 0.002642
501, 0.002576
502, 0.002512
503, 0.002449
504, 0.002387
505, 0.002328
506, 0.002269
507, 0.002213
508, 0.002157
509, 0.002103
510, 0.002051
511, 0.001999
512, 0.001949
513, 0.001901
514, 0.001853
515, 0.001807
516, 0.001762
517, 0.001717
518, 0.001675
519, 0.001633
520, 0.001592
521, 0.001552
522, 0.001513
523, 0.001475
524, 0.001438
525, 0.001402
526, 0.001367
527, 0.001333
528, 0.001300
529, 0.001267
530, 0.001236
531, 0.001205
532, 0.001175
533, 0.001145
534, 0.001116
535, 0.001089
536, 0.001061
537, 0.001035
538, 0.001009
539, 0.000984
540, 0.000959
541, 0.000935
542, 0.000912
543, 0.000889
544, 0.000867
545, 0.000845
546, 0.000824
547, 0.000803
548, 0.000783
549, 0.000764
550, 0.000744
551, 0.000726
552, 0.000708
553, 0.000690
554, 0.000673
555, 0.000656
556, 0.000639
557, 0.000623
558, 0.000608
559, 0.000593
560, 0.000578
561, 0.000563
562, 0.000549
563, 0.000536
564, 0.000522
565, 0.000509
566, 0.000496
567, 0.000484
568, 0.000472
569, 0.000460
570, 0.000448
571, 0.000437
572, 0.000426
573, 0.000416
574, 0.000405
575, 0.000395
576, 0.000385
577, 0.000376
578, 0.000366
579, 0.000357
580, 0.000348
581, 0.000339
582, 0.000331
583, 0.000323
584, 0.000315
585, 0.000307
586, 0.000299
587, 0.000292
588, 0.000284
589, 0.000277
590, 0.000270
591, 0.000263
592, 0.000257
593, 0.000250
594, 0.000244
595, 0.000238
596, 0.000232
597, 0.000226
598, 0.000221
599, 0.000215
600, 0.000369
601, 0.000680
602, 0.001146
603, 0.001770
604, 0.002550
605, 0.003486
606, 0.004579
607, 0.005829
608, 0.007236
609, 0.008799
610, 0.010520
611, 0.012078
612, 0.013480
613, 0.014726
614, 0.015816
615, 0.016749
616, 0.017526
617, 0.018147
618, 0.018611
619, 0.018918
620, 0.019069
621, 0.019063
622, 0.018900
623, 0.018580
624, 0.018119
625, 0.017666
626, 0.017224
